,Week,U.S. 30 yr FRM,U.S. 15 yr FRM
1065,1991-08-30,9.15,8.77
1066,1991-09-06,9.14,8.79
1067,1991-09-13,9.02,8.68
1068,1991-09-20,8.95,8.62
1069,1991-09-27,8.92,8.59
1070,1991-10-04,8.87,8.51
1071,1991-10-11,8.82,8.46
1072,1991-10-18,8.82,8.45
1073,1991-10-25,8.91,8.51
1074,1991-11-01,8.78,8.41
1075,1991-11-08,8.76,8.36
1076,1991-11-15,8.69,8.32
1077,1991-11-22,8.63,8.25
1078,1991-11-29,8.7,8.29
1079,1991-12-06,8.62,8.21
1080,1991-12-13,8.53,8.1
1081,1991-12-20,8.49,8.07
1082,1991-12-27,8.35,7.9
1083,1992-01-03,8.24,7.79
1084,1992-01-10,8.23,7.79
1085,1992-01-17,8.45,8.03
1086,1992-01-24,8.56,8.14
1087,1992-01-31,8.68,8.28
1088,1992-02-07,8.67,8.3
1089,1992-02-14,8.73,8.36
1090,1992-02-21,8.82,8.43
1091,1992-02-28,8.83,8.44
1092,1992-03-06,8.85,8.48
1093,1992-03-13,8.88,8.51
1094,1992-03-20,9.03,8.69
1095,1992-03-27,8.98,8.63
1096,1992-04-03,8.96,8.57
1097,1992-04-10,8.84,8.44
1098,1992-04-17,8.76,8.38
1099,1992-04-24,8.85,8.49
1100,1992-05-01,8.84,8.46
1101,1992-05-08,8.75,8.38
1102,1992-05-15,8.64,8.26
1103,1992-05-22,8.53,8.16
1104,1992-05-29,8.6,8.21
1105,1992-06-05,8.59,8.18
1106,1992-06-12,8.54,8.12
1107,1992-06-19,8.48,8.03
1108,1992-06-26,8.43,7.98
1109,1992-07-03,8.29,7.84
1110,1992-07-10,8.13,7.67
1111,1992-07-17,8.09,7.63
1112,1992-07-24,8.08,7.61
1113,1992-07-31,8.05,7.6
1114,1992-08-07,8.06,7.59
1115,1992-08-14,7.96,7.48
1116,1992-08-21,7.87,7.38
1117,1992-08-28,8.01,7.51
1118,1992-09-04,7.94,7.44
1119,1992-09-11,7.84,7.33
1120,1992-09-18,7.89,7.37
1121,1992-09-24,8.02,7.48
1122,1992-10-02,7.93,7.37
1123,1992-10-09,8.01,7.46
1124,1992-10-16,8.06,7.51
1125,1992-10-23,8.23,7.71
1126,1992-10-30,8.21,7.68
1127,1992-11-06,8.29,7.75
1128,1992-11-13,8.32,7.79
1129,1992-11-20,8.32,7.83
1130,1992-11-27,8.29,7.81
1131,1992-12-04,8.34,7.87
1132,1992-12-11,8.23,7.77
1133,1992-12-18,8.19,7.74
1134,1992-12-25,8.13,7.65
1135,1992-12-31,8.14,7.68
1136,1993-01-08,8.07,7.6
1137,1993-01-15,8.04,7.56
1138,1993-01-22,8.0,7.51
1139,1993-01-29,7.86,7.37
1140,1993-02-05,7.8,7.29
1141,1993-02-12,7.75,7.25
1142,1993-02-19,7.65,7.12
1143,1993-02-26,7.53,7.02
1144,1993-03-05,7.44,6.91
1145,1993-03-12,7.47,6.97
1146,1993-03-19,7.57,7.07
1147,1993-03-26,7.5,7.01
1148,1993-04-02,7.53,7.03
1149,1993-04-09,7.57,7.07
1150,1993-04-16,7.45,6.93
1151,1993-04-23,7.38,6.86
1152,1993-04-30,7.43,6.91
1153,1993-05-07,7.42,6.88
1154,1993-05-14,7.42,6.86
1155,1993-05-21,7.52,6.98
1156,1993-05-28,7.5,6.99
1157,1993-06-04,7.47,6.97
1158,1993-06-11,7.48,6.98
1159,1993-06-18,7.38,6.87
1160,1993-06-25,7.34,6.84
1161,1993-07-02,7.23,6.76
1162,1993-07-09,7.19,6.71
1163,1993-07-16,7.16,6.67
1164,1993-07-23,7.2,6.7
1165,1993-07-30,7.25,6.75
1166,1993-08-06,7.21,6.72
1167,1993-08-13,7.17,6.68
1168,1993-08-20,7.1,6.62
1169,1993-08-27,6.97,6.49
1170,1993-09-03,6.93,6.45
1171,1993-09-10,6.82,6.35
1172,1993-09-17,6.96,6.49
1173,1993-09-24,6.95,6.47
1174,1993-10-01,6.89,6.41
1175,1993-10-08,6.87,6.39
1176,1993-10-15,6.81,6.36
1177,1993-10-22,6.74,6.31
1178,1993-10-29,6.86,6.4
1179,1993-11-05,7.11,6.65
1180,1993-11-12,7.12,6.64
1181,1993-11-19,7.08,6.62
1182,1993-11-26,7.31,6.84
1183,1993-12-04,7.25,6.74
1184,1993-12-10,7.14,6.65
1185,1993-12-17,7.17,6.7
1186,1993-12-24,7.17,6.69
1187,1993-12-31,7.13,6.63
1188,1994-01-07,7.23,6.74
1189,1994-01-14,6.99,6.48
1190,1994-01-21,7.05,6.57
1191,1994-01-28,6.97,6.47
1192,1994-02-04,6.97,6.46
1193,1994-02-11,7.21,6.72
